TERYT,Gmina,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
100108,gm. Zelów,3,49.62424643,5.2,3025.99,11.5,103,62.9,5023,71.8,5023,86.7,64,90,19.20525972,51.45557412
100201,m. Kutno,3,49.99732262,4.4,3476.49,7.8,113,63.5,1608,57.7,9005,100.76,97,1340,19.37606863,52.22579161
100202,gm. Bedlno,3,39.49098621,4.3,2511.17,7,100,59.8,5590,88.5,5590,104.09,60,44,19.59666381,52.1746571
100203,gm. Dąbrowice,3,41.10769231,3.6,4728.89,9.9,111,64.4,1923,78.4,0,109.16,42,42,19.08659487,52.30566728
100204,gm. Krośniewice,3,39.47589686,3,3350.98,13.1,107,60.7,2898,66.8,4348,94.3,57,92,19.1707907,52.23686512
100205,gm. Krzyżanów,3,37.36694678,5.6,3191.58,10.1,101,54.7,4298,84.8,2149,63.86,60,42,19.44283669,52.16430486
100206,gm. Kutno,3,44.13851831,4.2,2718.29,9.1,101,53.9,0,86.5,1745,72.7,75,71,19.32891052,52.22146941
100207,gm. Łanięta,3,36.07822954,3.6,3097.55,14.9,91,59.4,0,68.3,2470,85.88,40,45,19.27386332,52.34265723
100208,gm. Nowe Ostrowy,3,36.04299631,2.8,4606.79,13.5,107,58,0,63.9,1780,108.07,47,50,19.20081572,52.30529932
100209,gm. Oporów,3,40.76923077,5.7,3151.91,8,103,61.2,0,95.4,2633,82.86,50,39,19.52315172,52.26518593
100210,gm. Strzelce,3,41.48326801,6.2,2886.08,10.9,104,58.5,4059,81.5,2030,87.86,61,45,19.40706278,52.3108521
100211,gm. Żychlin,3,39.85337243,4.7,2736.7,11.3,107,60.9,2457,58.2,2047,89.17,66,160,19.66678021,52.23572487
100301,gm. Buczek,3,46.23893805,5.9,3949.84,6.8,103,61.2,5106,83.6,5106,83.76,71,55,19.17437857,51.52190162
100302,gm. Łask,3,50.64889358,4.6,2858.13,8.3,108,59.1,2790,72,5580,96.09,101,192,19.1138734,51.61334793
100303,gm. Sędziejowice,3,47.61904762,5.1,3134.04,8,103,60.4,6395,86.8,1599,92.43,63,53,19.02925065,51.50583949
100304,gm. Widawa,3,45.06182501,4.5,3154.88,8.6,102,63.4,2501,82.5,3751,86.61,62,42,18.94936526,51.41445698
100305,gm. Wodzierady,3,49.72816238,6.2,3056.03,4.7,98,57,0,86,3380,88.19,88,41,19.12964936,51.71630702
100401,m. Łęczyca,3,47.19773823,5,3179.32,11.4,115,65.4,1451,53.9,7256,98.31,96,1621,19.1976915,52.05533101
100402,gm. Daszyna,3,32.79569892,4.8,4489.94,10.3,106,65.8,0,82.6,1992,77.89,61,49,19.15070446,52.160714
100403,gm. Góra Świętej Małgorzaty,3,38.54425145,3.6,2653.72,4.9,103,68.6,0,108.3,4431,74.16,42,49,19.32261205,52.06495114
100404,gm. Grabów,3,37.08106002,6.2,2781.61,6.9,99,62.5,2041,87,875,88.47,45,40,19.00525666,52.14405197
100405,gm. Łęczyca,3,38.37327894,5.3,2816.23,6.8,101,59.2,0,98.9,8530,89.27,52,57,19.14374683,52.06482921
100406,gm. Piątek,3,43.84072185,6.5,2999.56,6.7,102,62.1,3094,89.2,6188,87.19,48,46,19.46631115,52.06205593
100407,gm. Świnice Warckie,3,40.29714979,5.2,3136.59,9,101,58.6,3986,88.9,1993,99.19,56,43,18.94134152,52.04776826
100408,gm. Witonia,3,37.5630858,5.1,3206.56,7.3,101,55.5,3310,92.6,3310,80.41,51,55,19.28262714,52.1397719
100501,m. Łowicz,3,52.69939921,4.3,3255.01,7,112,63,1929,67.2,5787,100.85,100,1236,19.9393412,52.10460124
100502,gm. Bielawy,3,42.41911609,5,3371.89,5.7,100,64.9,5605,86.2,5605,103.81,51,34,19.64825368,52.07940968
100503,gm. Chąśno,3,46.88136975,4.7,2826.28,4.2,101,61.1,2960,112.6,2960,85.58,51,41,19.91415064,52.19336446
100504,gm. Domaniewice,3,46.37215529,5.4,3400.24,6,105,65.1,2333,104.2,4665,94.52,63,54,19.80528391,52.02423972
100505,gm. Kiernozia,3,42.03555246,4.3,3060.95,5,102,64.6,1732,88.7,3464,116,63,45,19.86878777,52.2624162
100506,gm. Kocierzew Południowy,3,49.54674221,5.1,3296.11,2.9,97,63.8,4332,105.4,2166,96.77,51,46,20.01545925,52.20305849
100507,gm. Łowicz,3,47.73615635,4.1,3436.72,4.9,102,59.1,0,108.2,3823,72.07,70,57,19.9051173,52.09708947
100508,gm. Łyszkowice,3,40.24118738,4.6,2918.18,5.5,106,60.6,3364,93.6,6727,86.31,53,63,19.92422393,51.98878169
100509,gm. Nieborów,3,49.9415812,4.5,2788.44,5.3,107,61,9448,92.8,1890,94.29,61,91,20.06025108,52.07919459
100510,gm. Zduny,3,45.74840436,5.3,3436.77,5.5,104,68.2,5848,108.1,5848,86.78,62,45,19.78320459,52.1676341
100602,gm. Andrespol,3,57.93983244,3.5,2829.71,6.9,111,61.4,2237,96.9,4474,84.63,110,575,19.6502316,51.71917174
100603,gm. Brójce,3,56.84436633,4.9,3220.36,4.7,102,55.9,6390,105.3,3195,86.82,97,93,19.64548701,51.6671499
100607,gm. Koluszki,3,54.68477514,4.6,3037.99,6.7,110,62.1,2626,80.3,7879,82.41,90,150,19.83120354,51.72629283
100608,gm. Nowosolna,3,62.78755074,1.9,4422.42,5,105,57.9,0,126.7,4721,65.24,143,87,19.62828257,51.81180967
100610,gm. Rzgów,3,59.45772295,0,0,0,0,0,0,0,0,0,0,0,19.50203941,51.66150368
100611,gm. Tuszyn,3,49.19754309,4.7,3328.68,6.6,107,57.2,2447,90.7,3058,89.67,121,94,19.53990109,51.58008733
100701,gm. Białaczów,3,42.96858528,4.9,3180.77,9.4,101,64.6,5853,75.9,2927,83.97,38,51,20.30088019,51.29661134
100702,gm. Drzewica,3,51.06310789,6.9,2914.41,7.3,103,66.6,3575,78.3,10725,90.1,56,91,20.42588242,51.45750665
100703,gm. Mniszków,3,47.94628752,4.9,3939.79,4.6,96,63.1,2369,87.8,1579,92.18,53,38,19.99207016,51.3887482
100704,gm. Opoczno,3,52.70685833,5.2,2918.78,5.9,105,57.7,1936,74.4,4355,94.85,72,183,20.30206012,51.39862275
100705,gm. Paradyż,3,53.66129488,4.3,3544.41,6.5,96,64.6,4470,87.5,0,88.13,49,55,20.10009773,51.30899024
100706,gm. Poświętne,3,50.28571429,4,3331.18,4.7,96,68.5,0,87.2,1619,84.17,60,23,20.3555299,51.52647567
100707,gm. Sławno,3,49.26025555,6.2,3622.08,5.6,101,65.3,0,88.1,2518,79.09,42,58,20.14387669,51.4007472
100708,gm. Żarnów,3,45.36021926,3.6,3458.49,7.4,99,63.3,3020,79.5,2013,84.94,51,43,20.14208038,51.23730717
100801,m. Konstantynów Łódzki,3,54.36038514,5.4,2793.05,6.8,115,62.2,2544,72.8,8904,86.46,109,653,19.31414708,51.75542709
100802,m. Pabianice,3,54.40340388,4.3,2794.34,7.7,117,64.8,1760,55.7,11149,89.36,103,2028,19.36403687,51.65936806
100803,gm. Dłutów,3,51.60022459,3.6,3348.82,6.1,100,61.2,2248,80.5,4495,79.82,97,44,19.37471214,51.56378903
100804,gm. Dobroń,3,54.08351501,5.5,3075.05,6,104,57.8,7544,100.2,3772,78.51,95,79,19.24772227,51.62504894
100805,gm. Ksawerów,3,56.64392463,3.8,3973.59,5.7,110,63.7,2558,97.4,7673,90.1,144,563,19.40731925,51.67753137
100806,gm. Lutomiersk,3,49.5641345,5.3,3278.17,7.2,104,62.7,4065,89.5,8129,81.31,88,61,19.16214184,51.77440027
100807,gm. Pabianice,3,57.18619644,5.6,4790.87,4.5,104,59.2,0,99.8,1395,103.68,112,80,19.32287298,51.66673207
100901,gm. Działoszyn,3,46.62696476,6.1,3304.56,4.7,101,57.5,2544,85.9,2120,92.53,95,105,18.85040665,51.11644043
100902,gm. Kiełczygłów,3,46.17816092,5.1,4186.81,6.1,99,62.5,4112,99.4,1371,88.28,68,47,18.96507179,51.24518771
100903,gm. Nowa Brzeźnica,3,42.61874198,3.8,3264.17,7.2,98,58.7,4663,78.6,1554,100,51,34,19.15980154,51.05308936
100904,gm. Pajęczno,3,45.63751426,4.9,2724.78,6.9,103,61.7,2343,81.5,5857,90.58,99,103,19.01698744,51.11939095
100905,gm. Rząśnia,3,47.8728857,4.4,10259.59,7.8,103,61.4,4804,93.4,1201,94.43,63,56,19.0683169,51.22362311
100906,gm. Siemkowice,3,45.70067686,6.4,3232.3,5.1,100,66.1,2429,92.2,4858,90.46,53,49,18.87139582,51.21022339
100907,gm. Strzelce Wielkie,3,43.74190205,4.9,3911.52,5.5,102,58.2,4685,82.1,2343,86.54,44,60,19.17474397,51.13615477
100908,gm. Sulmierzyce,3,53,4,6552.25,5.9,104,63,4466,81.8,4466,100.99,51,54,19.18706911,51.19564232
101001,gm. Aleksandrów,3,46.49919829,6.6,4046.8,5.4,101,66.4,0,77.6,2192,93.92,41,30,19.97008361,51.2697894
101002,gm. Czarnocin,3,50.51924252,3.2,3277.85,3.1,106,61.9,4076,97.1,4076,95.08,78,57,19.66591621,51.59247298
101003,gm. Gorzkowice,3,52.52804896,4.5,3072.82,5.3,104,63.6,4271,82.4,1708,89.68,52,84,19.61839034,51.20731396
101004,gm. Grabica,3,46.53137296,6.5,3302.95,3.9,100,63,6101,96.7,2034,90.49,72,48,19.53817895,51.47568483
101005,gm. Łęki Szlacheckie,3,39.73577236,3.4,3268.57,6.4,98,66.3,0,79.2,1785,92.22,39,33,19.76919504,51.1996674
101006,gm. Moszczenica,3,51.09788231,5.4,3217.86,5.5,106,61.8,6415,88.8,3207,88.16,62,115,19.68365449,51.50489102
101007,gm. Ręczno,3,43.72093023,4.8,3033.8,6.7,101,62.5,3566,87.7,3566,88.55,54,40,19.87232871,51.19053774
101008,gm. Rozprza,3,46.3001455,4.4,2986.9,5.7,104,62.7,6172,88.1,2469,92.04,46,76,19.67977191,51.29268459
101009,gm. Sulejów,3,49.60436352,4.4,2802.03,7.1,102,59.6,3249,88,3249,84.79,81,86,19.8260656,51.35018184
101010,gm. Wola Krzysztoporska,3,51.1852408,4.8,3613.31,5.8,102,64.2,5948,95,2974,86.12,54,70,19.55650238,51.35982624
