TERYT,Gmina,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
020101,m. Bolesławiec,3,48.94545686,4.9,3653.29,4.1,112,64.4,2187,63.2,19687,104.56,117,1670,15.56109719,51.26070008
020102,gm. Bolesławiec,3,43.04756688,5,3179.2,3.9,101,50.7,7052,118.7,2351,64.86,91,49,15.57423414,51.30858257
020103,gm. Gromadka,3,41.38389887,6.2,3595.3,5.3,100,54.1,5438,89.9,2719,88.63,59,20,15.73585682,51.40781687
020104,gm. Nowogrodziec,3,35.68610995,5.4,2605,3.8,103,53.7,3820,89.5,3056,83.29,69,87,15.36723423,51.21381796
020105,gm. Osiecznica,3,39.14956012,5,4108.96,4.7,98,55.3,7490,76.5,1248,100.3,69,17,15.41624342,51.39110647
020106,gm. Warta Bolesławiecka,3,38.24011931,3.3,3396.87,4.1,101,54.6,8513,83.8,2128,87.98,66,77,15.70164091,51.23682621
020201,m. Bielawa,3,43.83835157,4.8,3783.89,4.7,114,61,3065,56.2,30652,87.93,96,847,16.60341523,50.67572721
020202,m. Dzierżoniów,3,49.07088782,4.1,2767.18,5.4,113,65,1997,58,16973,96.38,123,1691,16.64930159,50.73120085
020203,m. Pieszyce,3,41.49934811,4.1,2919.24,6,106,58.5,1926,67.1,4814,75.47,105,151,16.55293857,50.70538357
020204,m. Piława Górna,3,40.93578329,4,2555.23,6.9,109,54.9,3317,63,0,88.68,92,317,16.7559262,50.68294166
020205,gm. Dzierżoniów,3,43.7777198,4.1,3349.57,6.2,102,53.9,9250,90.2,1321,67.05,88,66,16.66022622,50.73413989
020206,gm. Łagiewniki,3,41.29827445,6.4,3325.56,4.1,104,56.8,3771,88.7,1885,89.49,73,60,16.78211746,50.7964921
020207,gm. Niemcza,3,40.75789474,2.8,2714.61,5.8,100,56.8,2850,71.1,1425,82.02,88,79,16.82196386,50.71536681
020301,m. Głogów,3,51.64380256,4.8,3611.93,6,108,61.5,2747,58.2,17167,98.13,97,1956,16.05016649,51.66929681
020302,gm. Głogów,3,50.8477842,4.5,4200.02,7,101,51.5,6538,100.4,3269,63.74,90,77,16.13669661,51.67087805
020303,gm. Jerzmanowa,3,54.2520348,4,7682.13,5.6,98,54.8,4743,109.5,2372,78.47,83,75,16.04405245,51.59441221
020304,gm. Kotla,3,39.82404692,4,4222.99,9.2,100,58.5,4461,86.5,1487,78.45,54,35,16.04206008,51.73975478
020305,gm. Pęcław,3,42.10230467,5.7,4867.08,12.4,95,55.2,0,74.9,760,88.24,60,35,16.25901398,51.64523975
020306,gm. Żukowice,3,41.43786127,3.7,3885.5,9.5,94,54.2,3516,91.3,879,76.1,72,52,15.94209636,51.67024279
020401,gm. Góra,3,40.20644198,4.4,3335.64,11,104,59,3404,74.5,5107,92.78,90,77,16.54846356,51.67870963
020402,gm. Jemielno,3,34.32835821,5.1,3461.26,13.7,100,60.1,0,85.6,1043,71.54,56,25,16.51541378,51.55746017
020403,gm. Niechlów,3,33.66361789,5.9,3461.25,11.6,100,57.1,0,80.8,2502,72.63,53,33,16.38917651,51.69157364
020404,gm. Wąsosz,3,36.24893436,4.9,3502.73,11.3,101,60.6,2460,80.6,3690,91.33,75,37,16.7133543,51.56741259
020501,m. Jawor,3,46.55014268,5,3033.8,6.5,108,56,2150,63.7,11825,99.3,118,1258,16.18641323,51.0681675
020502,gm. Bolków,3,39.08641123,3.9,2846.15,13.4,103,59.7,3572,75,1786,79.65,91,70,16.0735353,50.91995144
020503,gm. Męcinka,3,41.73648134,5.4,3718.54,9.2,99,58.5,0,95.9,829,76.18,71,34,16.06545955,51.06240183
020504,gm. Mściwojów,3,41.93154034,3.8,5335.67,9.2,100,58,4125,76.7,2063,57.76,81,57,16.26469611,51.05772249
020505,gm. Paszowice,3,41.45579506,5.3,3519.63,7.6,94,51.5,0,95.9,665,60.9,86,39,16.13212976,50.99725415
020506,gm. Wądroże Wielkie,3,39.58775386,2.5,3273.98,6.4,102,57.3,0,89.3,2001,87.79,84,45,16.3691441,51.10132379
020601,m. Karpacz,3,49.36708861,4.9,6784.95,5,113,53.9,4882,84.3,4882,133.68,795,129,15.7410351,50.76246715
020602,m. Kowary,3,42.88707543,3.5,2873.44,6.6,110,61,2822,63.1,5644,82.14,117,302,15.84071756,50.78086277
020603,m. Piechowice,3,46.79756005,4.6,3244.48,4.7,109,59.3,3222,76.5,6443,82.38,121,149,15.58018073,50.83144457
020604,m. Szklarska Poręba,3,47.09407919,5,5678.17,5.4,115,56.3,2234,77.5,6703,78.32,192,89,15.46261155,50.81878773
020605,gm. Janowice Wielkie,3,44.16068867,5.8,3285.75,7.1,96,52.7,2160,88,1080,71.06,129,75,15.90388844,50.89226571
020606,gm. Jeżów Sudecki,3,46.64411608,4.9,3434.16,4.8,107,54.8,7146,107.3,2382,49.07,119,76,15.73951159,50.95672318
020607,gm. Mysłakowice,3,44.34803862,4.6,3284.53,6.9,106,56.3,5138,75.9,3425,78.75,95,117,15.83188171,50.84674116
020608,gm. Podgórzyn,3,45.36813518,4.4,2920.3,6.2,102,56.2,8270,93.4,1654,67.05,131,100,15.70598894,50.81014186
020609,gm. Stara Kamienica,3,41.14149822,4.3,3851.51,6.9,102,52.6,5274,92.3,1758,91.71,92,48,15.5618927,50.89650967
020701,m. Kamienna Góra,3,44.96681416,4.3,2895.44,6.1,108,63.2,2458,53.8,6554,91.19,116,1090,16.02657191,50.78244153
020702,gm. Kamienna Góra,3,44.74547269,5.5,3254.89,5.3,100,52.4,0,85,2253,75.64,79,57,16.01744075,50.7529555
020703,gm. Lubawka,3,45.97764139,5.7,3180.91,5.2,105,56.9,5572,67.7,5572,89.13,87,81,15.96830492,50.69332947
020704,gm. Marciszów,3,37.25227638,5.2,3348.07,6.9,99,55.2,0,69.8,1528,79.45,78,56,16.01929946,50.85592971
020801,m. Duszniki-Zdrój,3,47.85731386,4.6,4604.79,10.9,113,67.4,2394,59.6,2394,87.73,135,215,16.38319877,50.36921324
020802,m. Kłodzko,3,47.99172936,3.5,2955.7,9.4,113,65.1,1844,62.6,6914,104.63,160,1113,16.64483997,50.43670362
020803,m. Kudowa-Zdrój,3,47.85046729,3.7,3438.5,11.8,110,62.9,3393,68.5,10180,90.29,102,300,16.25871541,50.45019519
020804,m. Nowa Ruda,3,43.0051541,4.5,2903.79,8.8,109,62.3,2075,58.6,3804,81.72,113,616,16.52105806,50.57111914
020805,m. Polanica-Zdrój,3,50.77131717,3.8,3745.75,9.5,119,68.3,1304,75.1,3261,102.82,164,379,16.50146226,50.39945336
020806,gm. Bystrzyca Kłodzka,3,43.35792195,4,3176.39,10.5,107,59.7,3223,71.1,2418,82.73,102,57,16.63306461,50.29044365
020807,gm. Kłodzko,3,42.38315061,4.3,3019.93,10.7,102,54.5,17234,76,957,64.48,71,68,16.65516594,50.43188818
020808,gm. Lądek-Zdrój,3,45.69745136,3.4,3130.82,8,112,58.6,2825,73.8,2825,79.79,112,72,16.83732747,50.34889145
020809,gm. Lewin Kłodzki,3,37.97865662,4.7,4986.63,14.3,105,52.6,0,72.5,1938,86.84,132,37,16.30068123,50.41212845
020810,gm. Międzylesie,3,38.04311774,5.3,3234.79,11.2,101,56,7366,79.6,1842,83.71,71,39,16.67990009,50.17345153
020811,gm. Nowa Ruda,3,39.20863309,4.2,3263.06,9.9,101,54.6,11879,72.7,1980,91.72,67,85,16.52038592,50.59700917
020812,gm. Radków,3,39.06291834,6.4,4264.12,10.3,100,53.9,9198,76.3,1533,84.11,84,66,16.44165206,50.50499349
020813,gm. Stronie Śląskie,3,41.43936904,4.3,3156.17,9.5,106,56,2541,65.8,7623,84.88,97,52,16.91059803,50.26461663
020814,gm. Szczytna,3,39.13409704,3.9,2735.89,10.7,99,55.1,3723,72.8,3723,72.98,89,56,16.43436933,50.41035814
020901,m. Chojnów,3,43.06107698,6.5,3175.01,9.4,111,55.5,1975,63.4,13825,103.4,94,2599,15.93509013,51.27280109
020902,gm. Chojnów,3,38.93630991,4.7,3145.29,9.9,97,54.8,0,90.4,1592,60.66,71,41,15.9025928,51.29055569
020903,gm. Krotoszyce,3,46.37681159,5.2,4357.36,5.3,104,52.9,0,97.7,1632,74.44,81,48,16.08795025,51.15161342
020904,gm. Kunice,3,52.23519936,4.8,3574.83,5.1,103,52.1,6559,110.2,2186,61.89,118,71,16.27154275,51.23736755
020905,gm. Legnickie Pole,3,46.71784013,4.3,4172.25,4.6,113,61.5,0,91.9,1726,84.07,82,61,16.24456715,51.14919992
020906,gm. Miłkowice,3,47.90580969,4.9,3268.29,7,102,57.1,6531,87.8,2177,69.5,94,75,16.10386872,51.25122289
020907,gm. Prochowice,3,45.59920438,4.1,3465.46,5.5,103,56.4,3739,86.5,2493,89.53,98,73,16.38065997,51.26151812
020908,gm. Ruja,3,31.94962687,6.7,3526.65,7.3,99,64.6,0,84.1,2666,83.94,46,36,16.39781104,51.17184498
021001,m. Lubań,3,45.25473399,5.2,2821.37,5.3,111,62.5,1962,63.8,5395,99.37,120,1339,15.28170914,51.11469933
021002,m. Świeradów-Zdrój,3,44.00321975,5.6,7434.18,8.1,113,64,1420,77.3,2131,106.89,145,206,15.31430886,50.91756195
021003,gm. Leśna,3,39.5474668,6.4,3427.63,10.6,101,57.3,5194,67.1,3462,72.79,88,99,15.27462561,51.01033571
021004,gm. Lubań,3,39.86928105,4.9,3537.01,7.8,99,51.8,0,93.4,2205,82.06,80,46,15.31448915,51.13998033
021005,gm. Olszyna,3,38.91902001,4.7,3780.72,5.7,103,56.1,3270,73.2,3270,83.74,110,139,15.36089269,51.05762324
021006,gm. Platerówka,3,43.15225708,6.1,3506.14,6.2,94,53.6,0,93.6,807,80.33,59,34,15.18306051,51.06387622
021007,gm. Siekierczyn,3,43.40269278,5.1,3171.49,5.5,100,52.5,0,87.8,2268,72.22,83,92,15.18965349,51.1161799
021101,m. Lubin,3,54.93718184,5,4024.21,3.6,109,63.8,2292,57.7,14670,105.73,99,1799,16.1956271,51.39967947
021102,gm. Lubin,3,52.87523532,4.2,4404.77,3.8,99,52.8,0,109.5,2151,58.73,101,52,16.1942235,51.36410307
021103,gm. Rudna,3,50.17126081,4.7,6561.86,5,104,56.7,7699,88.2,1283,88.91,62,36,16.32944881,51.51901222
021104,gm. Ścinawa,3,46.53172056,4.7,3442.24,5.2,100,54.3,3404,74.8,3404,85.25,77,62,16.39305379,51.39688804
021201,gm. Gryfów Śląski,3,40.15796619,5.6,2848.65,8.2,107,55.9,2468,74.7,3291,87.39,94,148,15.43716818,51.04411821
021202,gm. Lubomierz,3,37.29674797,4.2,3628.77,9.8,102,54.9,6162,85.8,1232,79.65,77,47,15.54459945,51.0033203
021203,gm. Lwówek Śląski,3,40.16126751,4.6,3051.03,8.1,105,57.8,2923,77.8,2505,89.41,93,73,15.59665549,51.11755826
021204,gm. Mirsk,3,39.1600454,4.9,3085.81,12.5,107,55.4,4367,75.8,2911,78.48,85,47,15.39973763,50.91991883
021205,gm. Wleń,3,41.42028185,5.9,3468.52,10.1,101,52.6,4373,73.6,1458,78.16,85,51,15.67107652,51.01577486
021301,gm. Cieszków,3,44.10352188,4.9,3360.04,8.1,99,59.2,4678,93.3,1559,91.41,79,46,17.32626576,51.6111575
021302,gm. Krośnice,3,40.73319756,6.2,5540.06,5.8,99,59,8178,87.7,2726,91.62,71,46,17.3776649,51.44833817
021303,gm. Milicz,3,44.45815975,5.5,3433.65,6.9,104,63.6,3045,82.1,2706,91.6,107,56,17.29220207,51.5242401
021401,m. Oleśnica,3,51.1983293,5,2979.8,4.5,110,63.9,2203,62.8,18725,105.34,106,1787,17.38316198,51.20629767
021402,gm. Bierutów,3,39.46232581,4.6,2914.29,6.2,104,54.1,3371,76,3371,85.97,85,69,17.51151939,51.1316836
021403,gm. Dobroszyce,3,42.82956958,4.3,3864.08,4.3,99,56.4,3232,98.8,2154,103.08,97,49,17.33066615,51.29414798
021404,gm. Dziadowa Kłoda,3,35.52197802,4.7,3393.6,6.2,101,55.6,4634,95.9,1159,97.94,63,44,17.68006664,51.21390867
021405,gm. Międzybórz,3,39.7092003,5.5,3991.19,7.1,102,58.6,2556,83.4,2556,96.88,72,58,17.64072408,51.38256885
021406,gm. Oleśnica,3,41.22534788,6,2801.72,4.5,95,49.7,0,98.7,1437,59.66,96,53,17.43663201,51.21271851
021407,gm. Syców,3,46.47240419,4.7,2750.75,6.7,106,58,2795,85.1,5590,91.18,99,116,17.64955337,51.30220384
021408,gm. Twardogóra,3,43.67064255,6,3885.15,5.8,102,56,3252,86.3,4336,93.54,77,77,17.46827247,51.37335381
021501,m. Oława,3,54.24643703,4.9,3026.8,6.3,108,67.4,2506,63.5,8143,98.47,113,1190,17.29060933,50.94950221
021502,gm. Domaniów,3,43.21428571,5.5,3058.47,7.1,102,55.4,5281,87,2641,94.93,73,56,17.14782902,50.90695178
021503,gm. Jelcz-Laskowice,3,49.87539458,4.4,3205.02,4,103,53.4,2890,76,5781,91.44,95,138,17.40192632,51.03211576
021504,gm. Oława,3,48.88358616,4.4,4987.61,7.1,103,55.3,7544,103.8,2155,72.55,84,64,17.30554718,50.92895918
021601,gm. Chocianów,3,49.67886337,5,3116.41,7,102,54,4326,77.7,2596,87.35,70,59,15.96095437,51.40679739
021602,gm. Gaworzyce,3,49.58360026,5.2,4953.25,6.8,99,55.7,3977,85.4,994,89.09,75,52,15.88568533,51.62214553
021603,gm. Grębocice,3,41.26376257,4.5,5550.5,7.5,99,59.1,5403,81.4,2702,89.84,47,44,16.20162396,51.58038743
021604,gm. Polkowice,3,52.41024655,5.2,7968.39,4.3,104,57.4,2282,63.8,6847,90.4,86,163,16.07778045,51.49993308
021605,gm. Przemków,3,43.23389537,4.5,2849,8.9,102,53.2,4311,76.8,2874,87.72,58,80,15.82121986,51.52119183
021606,gm. Radwanice,3,45.50592034,5.3,5047.05,5.7,99,55.2,4690,97.2,1563,91.56,73,56,15.93589954,51.55656267
021701,gm. Borów,3,45.95469256,5.6,2902.18,4.7,99,54.7,5338,95.2,1335,96.26,77,54,17.006727,50.86471022
021702,gm. Kondratowice,3,37.53409711,4.9,3549.94,8.8,96,55.5,0,78.7,2220,76.22,68,45,16.93729653,50.76365342
021703,gm. Przeworno,3,37.61127596,5.5,3537.2,8.4,97,57.5,0,78.1,4913,78.42,62,44,17.16782004,50.67869801
021704,gm. Strzelin,3,47.5930277,4.3,3485.89,6.8,105,59,2764,75.1,11055,92.38,105,129,17.07097294,50.76885455
021705,gm. Wiązów,3,42.01043947,4.6,3614.53,6.9,101,56.9,7365,84.4,1841,84.7,68,52,17.22565141,50.79723741
021801,gm. Kostomłoty,3,40.11506276,4.3,3384.77,5.4,99,53.4,7136,89,2379,83.3,77,49,16.63675878,51.05615585
021802,gm. Malczyce,3,41.22714856,4.8,3223.61,4.4,103,53,0,76.5,3004,81.4,79,114,16.49078996,51.18484959
021803,gm. Miękinia,3,49.77570429,2.9,3599.14,3.9,101,52.3,4888,106.9,3666,79.41,112,82,16.77713689,51.18980842
021804,gm. Środa Śląska,3,44.18530555,4.4,3583.57,4.4,105,56.6,3287,80,3287,102,111,91,16.60207603,51.16339618
021805,gm. Udanin,3,38.4009009,3,3526.82,5.8,101,54.4,5309,87.8,1770,82.4,88,48,16.45315667,51.04937513
021901,m. Świdnica,3,52.48145794,4.7,3226.87,4.8,111,62.9,1769,62.8,11675,94.64,144,2683,16.49095869,50.8441662
021902,m. Świebodzice,3,47.56309835,4.2,3156.63,7.3,110,61.4,2096,61.2,23053,81.85,109,758,16.33275188,50.87157172
021903,gm. Dobromierz,3,41.12453532,3.6,3627.13,10.4,101,52.5,0,79.4,1324,89.69,78,62,16.23221795,50.93879077
021904,gm. Jaworzyna Śląska,3,41.80229775,4.9,2819.23,5.3,106,53.9,10356,71.1,2071,78.35,78,154,16.43451128,50.90892263
021905,gm. Marcinowice,3,44.19548001,4.4,3125.35,4.8,102,54.1,6525,91.8,3263,86.02,86,69,16.62739659,50.87964807
021906,gm. Strzegom,3,43.54627814,4.7,3471.51,6.8,105,57.1,2402,66.3,3302,91.64,113,183,16.3474798,50.96464756
021907,gm. Świdnica,3,44.86099724,4.5,3165.76,5.2,102,54.8,8519,92.7,2434,77.42,91,82,16.47461444,50.80914509
021908,gm. Żarów,3,44.32042671,4.5,3537.69,4,103,57,2514,70.4,1397,84.44,89,143,16.52572686,50.95603329
022001,gm. Oborniki Śląskie,3,52.74042771,4.6,3174.16,4,105,60,3317,96.1,4976,88.44,124,129,16.8921648,51.28861894
022002,gm. Prusice,3,39.65609171,5.7,4708.92,5.4,100,52.5,3114,85.6,4671,83.5,80,59,16.91615109,51.38317596
022003,gm. Trzebnica,3,48.06836679,4.5,3069.72,4.4,107,59.6,3985,81.5,23911,91.42,113,120,17.10182081,51.35595552
022004,gm. Wisznia Mała,3,53.2688588,3.5,3499.57,3.7,104,52,9899,124.9,4950,84.96,125,96,17.02807549,51.23148401
022005,gm. Zawonia,3,39.77272727,3.3,3320.88,4.7,99,52.8,2919,91.4,2919,85.53,83,50,17.21886296,51.3336104
022006,gm. Żmigród,3,39.01242919,5.1,3317.66,6.4,102,55.8,4936,77.5,2962,91.57,84,51,16.92912334,51.48948361
022101,m. Boguszów-Gorce,3,39.15431082,3.5,3252.83,10.2,106,59.4,3174,53.8,2645,81.25,97,587,16.20376681,50.75153712
022102,m. Jedlina-Zdrój,3,44.76699771,4.6,3379.42,7,113,63.8,2485,65,4970,91,99,285,16.33728982,50.72143927
022103,m. Szczawno-Zdrój,3,56.4822294,4.4,4443.02,6.1,113,65,1140,80.6,5699,75.24,202,387,16.23659789,50.79664069
022104,gm. Czarny Bór,3,48.09536149,4.9,4658.55,9.1,104,55.1,4840,73.8,2420,100.55,79,73,16.13164784,50.76885096
022105,gm. Głuszyca,3,41.44855283,4,2964.56,7.6,109,54.8,2198,59,4396,90.06,107,142,16.36594498,50.67609531
022106,gm. Mieroszów,3,38.44105114,4.4,3362.32,8,109,59.1,2331,65.2,2331,83.67,108,92,16.21281033,50.68200589
022107,gm. Stare Bogaczowice,3,43.99282726,3.3,3014.42,6.3,103,53.9,0,91.6,2128,67.59,91,49,16.18394922,50.83647582
022108,gm. Walim,3,40.78405891,6,4778.98,9.1,103,57.4,5607,76.5,935,85.67,110,71,16.4133455,50.72965939
022201,gm. Brzeg Dolny,3,46.65689828,4.7,3651.22,5.9,108,57,3995,62.6,3995,97.06,88,169,16.72449295,51.28706863
022202,gm. Wińsko,3,38.73249603,5.4,3021.85,10.5,103,57.9,8428,83.7,2809,76.31,62,34,16.59813946,51.45134959
022203,gm. Wołów,3,44.31027425,4.5,3122.67,8.5,102,55.2,2848,75.4,4557,95.87,90,69,16.60116505,51.33556531
022301,gm. Czernica,3,61.82136602,4.3,3342.96,2.7,102,57.5,4619,118.2,2309,84.76,126,166,17.25136078,51.07806751
022302,gm. Długołęka,3,56.98959538,4.3,3604.48,2,103,56,4750,115.5,2850,90.37,129,134,17.21018856,51.18516759
022303,gm. Jordanów Śląski,3,44.82087227,3.8,3039.92,3.2,101,51.7,3134,100,3134,80.63,64,55,16.85606332,50.85719872
022304,gm. Kąty Wrocławskie,3,53.4277419,4.9,4180.92,2.1,104,56.8,2864,102.3,22910,84.6,129,130,16.81785478,51.03839434
022305,gm. Kobierzyce,3,54.85718428,3.9,7477.93,2.2,106,54.6,2726,102.6,2121,84.09,160,128,16.92084518,50.96923615
022306,gm. Mietków,3,46.11513054,6.2,3698.99,3.1,100,56.8,3880,95.7,1293,91.52,86,47,16.6544266,50.96842304
022307,gm. Sobótka,3,46.27700617,4.8,3154.13,3.5,105,59,2565,85,4275,96.44,106,94,16.76217593,50.90630733
022308,gm. Siechnice,3,59.56771361,4.9,4657.23,2.5,108,54.8,3303,98.9,3303,93.5,140,201,17.13929945,51.02899243
022309,gm. Żórawina,3,49.7676755,5.1,3602.29,3.3,101,51.9,5068,110,3378,76.33,123,84,17.03936365,50.96068529
022401,gm. Bardo,3,43.53340883,3.8,2958.53,8.7,104,55.5,5433,80.7,1811,80.47,84,74,16.74851868,50.51142931
022402,gm. Ciepłowody,3,35.37254902,5.8,3109.31,9.4,99,53.2,0,86.1,1557,83.18,74,40,16.92255047,50.66667395
022403,gm. Kamieniec Ząbkowicki,3,42.84044418,3,3099.55,7.4,104,54.1,4158,80.8,1188,82.7,81,86,16.90886414,50.51362698
022404,gm. Stoszowice,3,39.41704036,4.4,2978.35,8.2,104,53.7,0,95.3,1373,71.55,95,50,16.68358267,50.6012732
022405,gm. Ząbkowice Śląskie,3,46.0493012,5.3,3169.67,7.3,109,61.1,2228,71.5,4455,92.66,124,152,16.82994153,50.59656824
022406,gm. Ziębice,3,39.43984989,4.2,2827.92,7.5,105,61.3,3534,75.1,2524,86.12,95,79,17.03375,50.59579684
022407,gm. Złoty Stok,3,39.25945378,4.3,3231.18,11.5,107,56.9,4670,76.5,1557,83.68,103,62,16.84325817,50.44764636
022501,m. Zawidów,3,43.03723248,4.4,3269.04,3.7,109,54.8,4272,66.2,4272,94.79,72,704,15.0458452,51.02469035
022502,m. Zgorzelec,3,49.36885851,4.7,3020.23,4.1,111,63.9,1742,65.1,7838,110.93,127,1974,15.01576921,51.1464599
022503,gm. Bogatynia,3,43.73988831,4.3,6160.84,3.7,103,54.8,3986,66.9,3986,89.93,86,176,14.93675865,50.9301487
022504,gm. Pieńsk,3,35.6420765,4.4,2916.25,6.3,102,54.7,4621,69.7,2310,80.12,89,84,15.08779034,51.24965452
022505,gm. Sulików,3,41.63416136,4.6,3594.83,6.6,98,54.1,0,87.4,6112,64.21,55,65,15.08737383,51.06153094
022506,gm. Węgliniec,3,39.38430409,4.6,3453.71,4.9,102,55.7,4270,71.5,1708,93.81,84,25,15.16536828,51.34553536
022507,gm. Zgorzelec,3,41.25707477,3.9,4078.75,4.8,99,50.1,8395,97.9,1399,61.87,86,61,15.06996178,51.13616468
022601,m. Wojcieszów,3,36.59895151,3.2,3771.63,12.9,105,55.9,3760,59.5,3760,88.05,99,117,15.92292276,50.95486533
022602,m. Złotoryja,3,45.83520263,4.9,3023.37,7.7,111,54.9,1772,62.5,15951,87.28,149,1386,15.91981927,51.12343295
022603,gm. Pielgrzymka,3,37.40929858,7.8,3687.61,12.8,96,51.6,0,95.6,1170,91.84,77,45,15.78700004,51.11238075
022604,gm. Świerzawa,3,37.5464684,5.8,3519.15,14,99,54.4,3842,78.8,1098,81.55,76,48,15.87236018,51.01592932
022605,gm. Zagrodno,3,40.5234657,3.5,3390.79,10.7,101,53,0,86.2,1081,80.29,57,44,15.84682856,51.20272271
022606,gm. Złotoryja,3,41.354314,5.9,3684.13,10.1,103,53.2,0,86.2,1424,79.07,96,49,15.96537745,51.14090134
026101,m. Jelenia Góra,3,50.41623072,4.4,4298.07,3.9,115,65.4,2315,64.6,11573,101.96,156,742,15.70813461,50.87093838
026201,m. Legnica,3,50.3474688,4.5,4481.12,5.2,111,60.1,2193,63.1,6305,94.4,136,1792,16.16749897,51.20171474
026401,m. Wrocław,3,60.60172892,4.2,5696.68,3,114,61.7,2355,70.2,15894,93.85,178,2171,16.99607331,51.12769193
026501,m. Wałbrzych,3,45.25519643,4,4800.1,6.3,112,61.8,2178,54.1,9621,90.02,121,1363,16.29002254,50.78643983
040101,m. Aleksandrów Kujawski,3,43.40670436,4.2,3151.96,11.7,110,60.1,2062,67.5,6185,114.08,89,1711,18.69861776,52.87818011
040102,m. Ciechocinek,3,61.52935372,4.8,4149.77,9.4,122,75.7,1068,72.7,10683,85.42,137,700,18.79934845,52.88448769
040103,m. Nieszawa,3,47.60423149,5.1,3851.67,15.3,105,56,1953,68.3,1953,76.42,87,199,18.88668409,52.83737431
040104,gm. Aleksandrów Kujawski,3,38.58689586,4.8,3273.3,11.2,102,53.9,0,93.3,2921,68.37,75,89,18.66703085,52.85675421
040105,gm. Bądkowo,3,40.15194147,3.8,3619.6,8.2,98,60.9,4391,96.5,4391,85.55,69,55,18.80051627,52.7113073
040106,gm. Koneck,3,35.35727508,5,3339.77,11.1,100,59.1,0,93.6,3233,89.21,73,48,18.72286309,52.79007761
040107,gm. Raciążek,3,42.02954899,6,3617.68,9.5,97,55.9,0,94.2,3133,104.71,64,95,18.81413964,52.84814928
040108,gm. Waganiec,3,39.77991747,6.4,3720.43,12,100,53.8,4581,84.5,4581,85.39,55,84,18.85495383,52.79938485
040109,gm. Zakrzewo,3,39.42406582,5.4,3660.46,11,100,56.8,3545,99.7,1773,95.9,53,47,18.62809589,52.74142752
040201,m. Brodnica,3,49.03979961,5.6,3524.97,6.8,109,59.5,1898,69.5,1582,108.17,94,1230,19.40056877,53.25507416
040202,gm. Bobrowo,3,38.51177518,3.6,3182.93,8.4,95,58.4,6401,88.9,1067,89.92,56,44,19.23335342,53.27733098
040203,gm. Brodnica,3,42.02489627,4.5,3256.41,5.6,95,53.3,0,105.3,1319,55.67,70,62,19.40958254,53.23779857
040204,gm. Brzozie,3,42.49827942,5.3,3444.49,5.9,93,61.7,0,88.1,3773,92.56,59,40,19.60373899,53.30339063
040205,gm. Górzno,3,41.76656151,7,3680.75,5.4,100,56.3,4016,81.5,4016,120.14,83,34,19.65772534,53.19333823
040206,gm. Bartniczka,3,41.95480534,3.6,3455.01,6.2,97,59.1,0,91.2,1183,74.31,56,57,19.56551932,53.24149085
040207,gm. Jabłonowo Pomorskie,3,39.42227184,5.1,3568.33,8.4,103,58.8,4516,73.7,1806,88.97,67,67,19.19771584,53.3837081
040208,gm. Osiek,3,35.17884914,4.9,3363.64,8.4,99,58.8,0,88.9,1359,89.67,56,54,19.40118079,53.15330285
040209,gm. Świedziebnia,3,42.61744966,6.1,3182.24,7.1,97,58.7,2602,84.5,1735,96.31,47,50,19.56884826,53.13402344
040210,gm. Zbiczno,3,42.45577523,4.6,3284.06,9.2,96,57.3,0,85,1202,82.22,70,36,19.38908818,53.34867451
040301,gm. Białe Błota,3,55.84864718,4.3,3845.29,3.4,102,54.1,4032,116.9,10081,85.37,152,165,17.90656084,53.08736717
040302,gm. Dąbrowa Chełmińska,3,41.43086817,5.8,3698.77,5,98,54.5,0,92.5,2705,86.94,83,65,18.25437417,53.17523135
040303,gm. Dobrcz,3,47.8583196,4.8,3413.24,4.7,102,57.4,5571,94.1,11141,80.38,88,86,18.144113,53.26614803
040304,gm. Koronowo,3,41.19231367,5,3233.47,8.2,102,56.5,4035,79.1,1614,87.07,76,59,17.88717014,53.32937154
040305,gm. Nowa Wieś Wielka,3,45.59978698,5.5,3904.42,3.8,104,53.2,1967,101.6,4918,90.49,114,66,18.09261245,52.99862788
040306,gm. Osielsko,3,62.89029536,4.7,4936.55,3.2,103,55.2,3231,129,6461,90.73,171,127,18.04716523,53.21095597
040307,gm. Sicienko,3,44.27529743,6,3289.01,4.4,97,53.5,0,90.4,4920,85.46,91,55,17.80540746,53.20444045
040308,gm. Solec Kujawski,3,48.71533762,5.3,4603.26,3.8,106,59.5,3353,69.6,8384,89.43,96,96,18.25242434,53.03515618
040401,m. Chełmno,3,46.27059281,5,2859.32,9.1,110,59.8,2527,58.6,6738,93.82,88,1491,18.42787685,53.34921452
040402,gm. Chełmno,3,34.49367089,5.4,3361.25,8,97,55.5,0,98.3,1455,78.32,59,51,18.47933669,53.36157323
040403,gm. Kijewo Królewskie,3,40.67313177,5.6,3939.65,8.3,101,56.4,4474,91.8,2237,86.37,56,62,18.44015502,53.26465423
040404,gm. Lisewo,3,38.77051188,4.5,3175.59,10.4,102,55.8,0,83.4,2657,82.57,50,62,18.66051963,53.30078408
040405,gm. Papowo Biskupie,3,33.64242249,5.3,3500.27,13.1,95,57.1,0,72.1,2179,81.32,48,62,18.56626386,53.25740056
