TERYT,Rok,Frekwencja,MalTys,BudzM,BezPro,WspFem,WspObc,AptOs,PowUzM,BibM,WspSko,PodTys,OsbKM,WspX,WspY
180901,0,41.69569111,6.1,1539,12.9,107,51.1,2065,67.2,12387,116.83,73,481,23.12000247,50.15671252
180902,0,41.43244158,5.1,1935,17.6,99,64.2,7275,83.3,1819,99.32,36,33,23.14219093,50.25943325
180903,0,39.98008464,4.7,1864,16,99,68.4,4912,80,1637,96.45,40,24,23.39102389,50.23278192
180904,0,42.02150538,6.1,1886,18.4,99,74.2,0,89.7,1528,93.41,30,45,23.20490167,50.13882257
180905,0,37.96751602,5.9,1622,15.3,94,68.9,4193,84.1,2097,95.73,43,41,23.28692512,50.3357573
180906,0,46.64598682,6.7,1713,18.5,102,63.8,3280,78.1,3280,96.87,47,43,22.98712395,50.14825471
180907,0,39.99444136,8.7,2557,8.9,98,70.6,4609,111,2305,96.74,30,30,22.91745721,50.24386866
180908,0,40.82568807,6.3,1849,19,102,74.5,0,90.7,1309,94.08,25,27,23.11781742,50.04165874
181301,0,38.51521613,6.4,2079,15.8,95,71,6632,76,2211,94.35,48,26,22.43451574,49.6883488
181302,0,31.26577235,7.1,1932,13.9,102,71.6,4813,77.1,2407,103.38,37,62,22.38238357,49.81726136
181303,0,37.74403471,4.4,2113,17.4,100,70.8,0,82.3,1351,100,36,34,22.69050468,49.65689459
181304,0,34.63980127,5,1965,14.4,100,60.4,4778,83.1,2389,76.29,66,38,22.62871634,49.7448087
181305,0,35.386249,6,1972,13.8,97,68.5,5044,85.7,1261,97.75,40,53,22.52750072,49.80034282
181306,0,43.61161893,3.9,2597,15.2,101,65.9,5885,81.8,1177,97.73,44,97,22.91271582,49.80752215
181307,0,42.42902208,6.2,2166,12.4,100,65.6,8349,94.1,1670,99.04,42,119,22.80265379,49.87994845
181308,0,37.69559033,5.1,1646,13.4,100,65.3,0,91.8,1799,82.56,66,83,22.74166473,49.77517326
181309,0,36.18652188,9,1725,16,100,70.6,3986,79.5,569,100.29,48,45,22.98301042,49.90099085
181310,0,49.64693666,4.5,1810,12.6,101,66,0,89.9,2032,92.69,42,128,22.78194348,49.84088986
181401,0,47.9174746,7.5,1717,12,110,52.6,1750,72.2,7873,120.38,84,716,22.49956375,50.05466358
181402,0,39.02208202,5.1,2320,13.4,99,72.2,4208,84.5,2104,99.19,33,31,22.72143885,50.26104733
181403,0,41.66666667,7.3,1617,11.6,101,70.6,4584,83.2,1528,98.36,22,128,22.39782252,50.02650756
181404,0,46.6319896,6.3,1758,14.1,106,78.2,4837,79.7,1209,103.68,36,77,22.30902061,49.9129275
181405,0,33.2691333,5,1527,14,106,70.2,6372,81.6,1820,95.18,39,121,22.39874904,49.95810095
181406,0,45.73986975,6.5,1497,13.9,103,68.7,0,88.7,2065,83.78,35,159,22.48525846,50.06328515
181407,0,43.23330106,5.1,1903,13.5,99,71.1,3400,84.4,3400,97.95,41,53,22.66147482,50.185262
181408,0,39.3909465,6.3,1943,14.2,101,73.8,2723,86.5,1167,98.26,33,116,22.54311684,50.13065698
181409,0,41.33902077,7.2,1640,12,103,68.6,7179,86.2,7179,98.71,39,146,22.51940946,49.99016523
181701,0,40.49610161,6,1740,9.8,109,50.9,2472,62.8,7910,105.26,93,1037,22.21539948,49.56024477
181702,0,35.59322034,7.3,1720,13.7,103,61.3,0,83.6,4251,97.08,45,154,21.95348384,49.5930389
181703,0,39.04249872,6.1,2095,12.2,98,70.4,5203,100.4,1734,106.89,71,38,22.05632878,49.4711966
181704,0,27.42625053,4.4,1919,10.8,96,50.3,5118,65.7,1706,96.43,53,11,22.09088346,49.31857436
181705,0,35.43898053,5.5,1555,12.4,99,65.1,3351,89.2,1523,75.82,41,72,22.20190484,49.5863221
181706,0,24.45054945,3,2268,15.2,93,69.4,0,86.7,1935,97.85,39,28,22.36243544,49.58643438
181707,0,35.73952549,5.8,1728,12.4,103,58.9,6350,83.4,1814,91.69,48,79,22.21893178,49.43847634
181708,0,40.46908316,5.6,1797,13.2,105,69.8,9221,82.9,1537,89.48,46,87,22.01027018,49.5625128
182101,0,35.83267561,4.6,1933,17.6,101,64.8,3182,78.1,1591,87.14,107,20,22.27627029,49.32077201
182102,0,42.14532872,5.3,3244,17.8,93,50.6,0,75.2,1663,100,150,6,22.39217925,49.18071936
182103,0,37.45924799,5.1,1814,14.6,101,57.3,3870,72.8,1935,100.99,96,104,22.34118905,49.46554579
182104,0,38.04204993,6,1773,17.4,100,62.1,5072,83.9,1014,100.69,65,54,22.44516277,49.48284163
182105,0,39.54653938,5.6,3056,19,97,58.9,5115,92.5,1023,98.41,96,28,22.41700815,49.34372554
186101,0,44.95756301,6.1,3129,8.3,111,52,1649,68.4,5977,106.58,107,1100,21.75409656,49.69214217
186201,0,42.56835992,5.1,2659,13.5,113,57.3,2230,59,7434,106.83,95,1533,22.77713798,49.78057914
180301,0,46.87795648,6,1727,12.1,106,51.8,2768,68,9411,102.24,81,1395,21.42061671,50.04341355
180302,0,36.71263895,4.3,1727,17.3,100,71.4,6528,84.4,3264,96.79,29,106,21.43081188,49.89715785
180303,0,41.92616372,4.7,1973,13.8,102,65.5,12482,87.2,3121,94.5,47,85,21.25377703,50.07812461
180304,0,42.75584836,5.4,1907,14.1,101,64,23923,83.6,1994,103.01,43,174,21.46441537,50.05494283
